Timestamp,Event Type,Details
2026-02-15 20:09:00,FIRE,Fire detected
2026-02-15 20:09:00,FIRE,Fire detected
2026-02-15 20:09:00,FIRE,Fire detected
2026-02-15 20:09:00,FIRE,Fire detected
2026-02-15 20:09:00,FIRE,Fire detected
2026-02-15 20:09:00,FIRE,Fire detected
2026-02-15 20:09:00,FIRE,Fire detected
2026-02-15 20:09:00,FIRE,Fire detected
2026-02-15 20:09:00,FIRE,Fire detected
2026-02-15 20:09:00,FIRE,Fire detected
2026-02-15 20:09:00,FIRE,Fire detected
2026-02-15 20:09:00,FIRE,Fire detected
2026-02-15 20:09:00,FIRE,Fire detected
2026-02-15 20:09:01,FIRE,Fire detected
2026-02-15 20:09:01,FIRE,Fire detected
2026-02-15 20:09:01,FIRE,Fire detected
2026-02-15 20:09:01,FIRE,Fire detected
2026-02-15 20:09:01,FIRE,Fire detected
2026-02-15 20:09:01,FIRE,Fire detected
2026-02-15 20:09:01,FIRE,Fire detected
2026-02-15 20:09:01,FIRE,Fire detected
2026-02-15 20:09:01,FIRE,Fire detected
2026-02-15 20:09:01,FIRE,Fire detected
2026-02-15 20:09:01,FIRE,Fire detected
2026-02-15 20:09:01,FIRE,Fire detected
2026-02-15 20:09:01,FIRE,Fire detected
2026-02-15 20:09:01,FIRE,Fire detected
2026-02-15 20:09:01,FIRE,Fire detected
2026-02-15 20:09:01,FIRE,Fire detected
2026-02-15 20:09:02,FIRE,Fire detected
2026-02-15 20:09:02,FIRE,Fire detected
2026-02-15 20:09:02,FIRE,Fire detected
2026-02-15 20:09:02,FIRE,Fire detected
2026-02-15 20:09:02,FIRE,Fire detected
2026-02-15 20:09:02,FIRE,Fire detected
2026-02-15 20:09:02,FIRE,Fire detected
2026-02-15 20:09:02,FIRE,Fire detected
2026-02-15 20:09:02,FIRE,Fire detected
2026-02-15 20:09:02,FIRE,Fire detected
2026-02-15 20:09:02,FIRE,Fire detected
2026-02-15 20:09:02,FIRE,Fire detected
2026-02-15 20:09:02,FIRE,Fire detected
2026-02-15 20:09:02,FIRE,Fire detected
2026-02-15 20:09:02,FIRE,Fire detected
2026-02-15 20:09:02,FIRE,Fire detected
2026-02-15 20:09:03,FIRE,Fire detected
2026-02-15 20:09:03,FIRE,Fire detected
2026-02-15 20:09:03,FIRE,Fire detected
2026-02-15 20:09:03,FIRE,Fire detected
2026-02-15 20:09:03,FIRE,Fire detected
2026-02-15 20:09:03,FIRE,Fire detected
2026-02-15 20:09:03,FIRE,Fire detected
2026-02-15 20:09:03,FIRE,Fire detected
2026-02-15 20:09:03,FIRE,Fire detected
2026-02-15 20:09:03,FIRE,Fire detected
2026-02-15 20:09:03,FIRE,Fire detected
2026-02-15 20:09:03,FIRE,Fire detected
2026-02-15 20:09:03,FIRE,Fire detected
2026-02-15 20:09:03,FIRE,Fire detected
2026-02-15 20:09:03,FIRE,Fire detected
2026-02-15 20:09:03,FIRE,Fire detected
2026-02-15 20:09:04,FIRE,Fire detected
2026-02-15 20:09:04,FIRE,Fire detected
2026-02-15 20:09:04,FIRE,Fire detected
2026-02-15 20:09:04,FIRE,Fire detected
2026-02-15 20:09:04,FIRE,Fire detected
2026-02-15 20:09:04,FIRE,Fire detected
2026-02-15 20:09:04,FIRE,Fire detected
2026-02-15 20:09:04,FIRE,Fire detected
2026-02-15 20:09:04,FIRE,Fire detected
2026-02-15 20:09:04,FIRE,Fire detected
2026-02-15 20:09:04,FIRE,Fire detected
2026-02-15 20:09:04,FIRE,Fire detected
2026-02-15 20:09:04,FIRE,Fire detected
2026-02-15 20:09:04,FIRE,Fire detected
2026-02-15 20:09:04,FIRE,Fire detected
2026-02-15 20:09:05,FIRE,Fire detected
2026-02-15 20:09:05,FIRE,Fire detected
2026-02-15 20:09:05,FIRE,Fire detected
2026-02-15 20:09:06,FIRE,Fire detected
2026-02-15 20:09:06,FIRE,Fire detected
2026-02-15 20:09:06,FIRE,Fire detected
2026-02-15 20:09:06,FIRE,Fire detected
2026-02-15 20:09:06,FIRE,Fire detected
2026-02-15 20:10:13,LOITERING,Track ID 7
2026-02-15 20:10:13,LOITERING,Track ID 7
2026-02-15 20:10:13,LOITERING,Track ID 7
2026-02-15 20:10:13,LOITERING,Track ID 7
2026-02-15 20:10:13,LOITERING,Track ID 7
2026-02-15 20:10:13,LOITERING,Track ID 7
2026-02-15 20:10:14,LOITERING,Track ID 7
2026-02-15 20:10:14,LOITERING,Track ID 7
2026-02-15 20:10:14,LOITERING,Track ID 7
2026-02-15 20:10:14,LOITERING,Track ID 7
2026-02-15 20:10:14,LOITERING,Track ID 7
2026-02-15 20:10:14,LOITERING,Track ID 7
2026-02-15 20:10:14,LOITERING,Track ID 7
2026-02-15 20:10:15,LOITERING,Track ID 7
2026-02-15 20:10:15,LOITERING,Track ID 7
2026-02-15 20:10:15,LOITERING,Track ID 7
2026-02-15 20:10:15,LOITERING,Track ID 7
2026-02-15 20:10:15,LOITERING,Track ID 7
2026-02-15 20:10:15,LOITERING,Track ID 7
2026-02-15 20:10:15,LOITERING,Track ID 7
2026-02-15 20:10:15,LOITERING,Track ID 7
2026-02-15 20:10:15,LOITERING,Track ID 7
2026-02-15 20:10:15,LOITERING,Track ID 7
2026-02-15 20:10:15,LOITERING,Track ID 7
2026-02-15 20:10:15,LOITERING,Track ID 7
2026-02-15 20:10:15,LOITERING,Track ID 7
2026-02-15 20:10:16,LOITERING,Track ID 7
2026-02-15 20:10:16,LOITERING,Track ID 7
2026-02-15 20:10:16,LOITERING,Track ID 7
2026-02-15 20:10:16,LOITERING,Track ID 7
2026-02-15 20:10:16,LOITERING,Track ID 7
2026-02-15 20:10:16,LOITERING,Track ID 7
2026-02-15 20:10:16,LOITERING,Track ID 7
2026-02-15 20:10:16,LOITERING,Track ID 7
2026-02-15 20:10:16,LOITERING,Track ID 7
2026-02-15 20:10:16,LOITERING,Track ID 7
2026-02-15 20:10:16,LOITERING,Track ID 7
2026-02-15 20:10:16,LOITERING,Track ID 7
2026-02-15 20:10:16,LOITERING,Track ID 7
2026-02-15 20:10:17,LOITERING,Track ID 7
2026-02-15 20:10:17,LOITERING,Track ID 7
2026-02-15 20:10:17,LOITERING,Track ID 7
2026-02-15 20:10:17,LOITERING,Track ID 7
2026-02-15 20:10:17,LOITERING,Track ID 7
2026-02-15 20:10:17,LOITERING,Track ID 7
2026-02-15 20:10:17,LOITERING,Track ID 7
2026-02-15 20:10:17,LOITERING,Track ID 7
2026-02-15 20:10:17,LOITERING,Track ID 7
2026-02-15 20:10:17,LOITERING,Track ID 7
2026-02-15 20:10:17,LOITERING,Track ID 7
2026-02-15 20:10:17,LOITERING,Track ID 7
2026-02-15 20:10:17,LOITERING,Track ID 7
2026-02-15 20:10:17,LOITERING,Track ID 7
2026-02-15 20:10:17,LOITERING,Track ID 7
2026-02-15 20:10:17,LOITERING,Track ID 7
2026-02-15 20:10:18,LOITERING,Track ID 7
